0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.000297,0.000351,0.000356,0.000356,0.000356,0.000357,0.000366,0.000890,0.030395,1.662289,90.936273,2.537932,0.066785,0.005397,0.003347,0.003085,0.001703,0.000546,0.000371,0.000357,0.000356,0.000356,0.000356,0.000356,0.000357,0.000359,0.000406,0.001648,0.034102,0.613097
0.000351,0.000414,0.000420,0.000421,0.000421,0.000421,0.000422,0.000458,0.002023,0.060559,1.664589,0.084621,0.007058,0.002678,0.002744,0.002627,0.000920,0.000617,0.000435,0.000421,0.000421,0.000421,0.000421,0.000421,0.000422,0.000449,0.001375,0.035318,1.225313,33.570098
0.000356,0.000420,0.000427,0.000427,0.000427,0.000427,0.000427,0.000429,0.000483,0.002049,0.030794,0.004269,0.002028,0.001800,0.001969,0.001849,0.001085,0.008353,0.000862,0.000444,0.000428,0.000427,0.000427,0.000427,0.000434,0.000701,0.012788,0.619834,31.937439,28.522368
0.000356,0.000421,0.000427,0.000427,0.000427,0.000427,0.000428,0.000428,0.000429,0.000467,0.000998,0.000708,0.000717,0.001127,0.000746,0.001104,0.016455,0.420353,0.016364,0.000894,0.000442,0.000428,0.000427,0.000427,0.000430,0.000482,0.001561,0.026954,0.624983,0.515796
0.000356,0.000421,0.000427,0.000427,0.000427,0.000429,0.000448,0.000432,0.000433,0.000430,0.000440,0.000447,0.000457,0.000534,0.000676,0.009196,0.430723,20.641006,0.426670,0.008964,0.000636,0.000435,0.000428,0.000427,0.000428,0.000434,0.000533,0.001677,0.013500,0.010556
0.000356,0.000421,0.000427,0.000427,0.000430,0.000491,0.001480,0.000572,0.000505,0.000444,0.000431,0.000429,0.000432,0.000494,0.001587,0.021935,0.583363,16.656552,0.338902,0.009565,0.000965,0.000463,0.000431,0.000429,0.000437,0.000429,0.000437,0.000510,0.000823,0.000615
0.000356,0.000421,0.000427,0.000429,0.000496,0.002630,0.047991,0.006143,0.001476,0.000614,0.000466,0.000433,0.000453,0.001257,0.024138,0.501989,14.789983,0.584845,0.020184,0.002405,0.000955,0.000499,0.000466,0.000474,0.000968,0.000465,0.000430,0.000433,0.000444,0.000369
0.000356,0.000421,0.000428,0.000456,0.001734,0.053856,1.813609,0.245063,0.028394,0.002885,0.000769,0.000474,0.000755,0.015043,0.564618,15.059559,26.330576,0.475542,0.011945,0.002302,0.002570,0.000824,0.000916,0.002270,0.030749,0.002044,0.000483,0.000429,0.000422,0.000357
0.000356,0.000421,0.000431,0.000625,0.009054,0.323531,8.211969,11.416346,1.466605,0.040470,0.003309,0.000671,0.000470,0.001222,0.022545,0.455754,0.506170,0.019512,0.001585,0.001074,0.000941,0.001012,0.004951,0.070429,1.669520,0.060995,0.002045,0.000464,0.000422,0.000357
0.000356,0.000422,0.000472,0.003053,0.153460,9.078277,11.288991,8.416760,0.930278,0.064601,0.015011,0.001888,0.000536,0.000469,0.001117,0.008605,0.010788,0.001376,0.000771,0.000722,0.000990,0.001791,0.041145,2.254694,91.049070,1.669734,0.030781,0.000970,0.000430,0.000357
